accountId,DOTs contributed,Total PDEX rewards,Initial claimable factor,Factor
1Ep6VceD2WCVwB116eDP6nozSgyxSWWpE2HcECyJFK4fQ3M,20,41.09632,10.27408,0.00000637034
15DRqTqd7FGmdxqQvfMLUNTC2m5Dp319k1iJc6YLoWxLZmpY,5,10.27408,2.56852,0.00000159258
16PABfFqh4aEk89NWaKYntmkDYG4avVvVyVNA1tm795FjLsr,10,20.54816,5.13704,0.00000318517
121jcddzr57sM36LR8DmPkufCATzWVUjvvrJzUktMj3NCZkw,5,10.27408,2.56852,0.00000159258
16ih8PXNXWj48HZzAfaGibhhT3yTCBnsZMRdWXp3f8CwAp1e,2511,5159.642976,1289.910744,0.000799796
13bhDb9hQ3gf7RBijp5asEmsWKFgPr7ctso2WrGWGtn7RzBS,10,20.54816,5.13704,0.00000318517
14ihGJD1BgKfQYzwdFpoh2pJADpuU5nnrH4u3KXHPbRoVEKe,5,10.27408,2.56852,0.00000159258
13TZJ3Sc5LeyeGGDMYyHwjFs71xGwaJckkTKegN7v3ERZACf,5,10.27408,2.56852,0.00000159258
14j7KDYVrzqaDwGt6iufBsuMjcRuEnyKGpahqQpuuWoFVRxD,5,10.27408,2.56852,0.00000159258
16CqwZWLDGwRZs2EhNvHQYQsD2hVEbEvjgG2dRyGbL5ryBtu,5,10.27408,2.56852,0.00000159258
14pZfyYvZissZbz6Ln3cu5uib4mPeQzZiW2MfHWPCmBWrkkj,20,41.09632,10.27408,0.00000637034
1688fhidtvrnk9RJh4tY9e7Hio6c5wuqnkdrThU61d1e7BKR,100,205.4816,51.3704,0.0000318517
16karGmJ7Na7BASTgREejejyynMEMxMRf1tFzTodZPVRqBdK,36,73.973376,18.493344,0.0000114666
129qXvgaML38hM8mAiq8tfdTw4P9VLoZHCCRdn5VTYDkswHn,140,287.67424,71.91856,0.0000445924
14aWiTGLux2rTnkWHAR4VRvJJjLXk7xGhK6drixeC9ut3ogd,6.5,13.356304,3.339076,0.00000207036
13gsAGP7RZsCGfPac5knmxvA4U7SQgeQ6FBL5gJNtvYQmPRb,20,41.09632,10.27408,0.00000637034
13m4dJG1c22A8dZBp1B8jjWhkqb4wSJiw3hq4oGgHgAyesHS,5,10.27408,2.56852,0.00000159258
13GxETk2ktdJzHCYpxfGNKqLhwJDTwgr6aZJf7SzUUkZzQ31,31,63.699296,15.924824,0.00000987402
16ZiStShkJvdwY3Vf6tNFqnuKDyENwsvRo9BdvQb2uJTDK7k,30,61.64448,15.41112,0.00000955551
13GU2JyadZrTJYiDuo3u3mtXPyy7v9xSZTQNitWark6NGPJt,1000,2054.816,513.704,0.000318517
12zsehh4gzeZjPUULXMkwVZQWViQrkrfZGv2b7Tv8xm86MrU,5,10.27408,2.56852,0.00000159258
12BmXJe5SYyzWEiN5Ub3N2Ce7yvVMSxNgYPYKdWY9ZGtKLn5,10,20.54816,5.13704,0.00000318517
123WpR1d4uMdKAochxuHdohTU3vp62aAPzvP45rsb1MLzZNd,10,20.54816,5.13704,0.00000318517
16PvvAMrmeFqBH6VWTPTeX1P9nDTQWSYZiwQfkMPYNG6LEaD,5,10.27408,2.56852,0.00000159258
16mAjKmHzztUa39eaBZMrqUj8BmV1rXAHgeUgBtQvVgvkC5u,10,20.54816,5.13704,0.00000318517
15kgZVVEfoAN3UVkdsrr2M5kMo5z4AbJ5bVWMEc4mp6JPvvD,5,10.27408,2.56852,0.00000159258
15JxdAbrHjFBVrKj3Yor1AB829y58j5wJWLuHMQK9bZJkujf,25.7,52.8087712,13.2021928,0.00000818588
16cqwcxDL8ANxknYvrYX7vAAMFAyc8fLhwEmV2ujF8bMMKXf,505,1037.68208,259.42052,0.000160851
16JZBfjhEWtadbBU6yr6g8X7MHrxtDTQKbM6QrxaWR2s4K1E,10.1,20.7536416,5.1884104,0.00000321702
13LHN6KoMJ2BFh12FeE1Lm1kGGT8V2SV3oH6Ftuk3LyqDUmN,24116.70103,49555.38314,12388.84578,0.007681576
19aVdGM5QK9Hqb6TLoUHxmFyHNJjPtEuTKModzZhstgfcVJ,17,34.931872,8.732968,0.00000541479
16V2GYecdypXsFkjqsN2x1AHqpza7BFNsnFpRRzwdwr9B2zN,50,102.7408,25.6852,0.0000159258
